"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Vehicles","IVHLTH","Low temperature heat for the vehicles sector","IVHLTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Biomass","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCELC01","Low-temperature space heat  technology based on electricity (boiler)","Electricity","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCELCHP01","Low-temperature space heat technology based on heat pump","Heat pump","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCHCO01","Low-temperature space heat  technology based on coal (boiler)","Coal","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCHDG01","Low-temperature space heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCLPG01","Low-temperature space heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCNGA01","Low-temperature space heat technology based on natural gas (boiler)","Natural gas","PJ"
"Vehicles","IVHSPC","Low temperature space heat for the vehicles sector","IVHSPCSTM01","Low-temperature space heat technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Vehicles","IVHSTM","Low-temperature steam/heat from CHP for the vehicles sector","IVHCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Vehicles","IVHSTM","Low-temperature steam/heat from CHP for the vehicles sector","IVHCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Vehicles","IVHSTM","Low-temperature steam/heat from CHP for the vehicles sector","IVHCHPGT01","Gas turbine CHP based on natural gas","Natural gas","PJ"
"Vehicles","IVHSTM","Low-temperature steam/heat from CHP for the vehicles sector","IVHSTMHP01","Steam generation by heat pump","Heat pump","PJ"
"Vehicles","IVHMOT","Motor drive for the vehicles sector","IVHMOTELC01","Electric motor technology","Electricity","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Vehicles","IVHOTH","Other energy services for the vehicles sector","IVHOTHSTM01","Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
