"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCQE01","Electric Steam Cracker for high value Chemicals with CCS","CCS","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCQG01","Steam cracker with post-combustion CCS with natural gas boiler for the production of high value chemicals","CCS","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCQH01","Steam cracker with post-combustion CCS using excess heat","CCS","Mt"
"Chemicals","IHVC","High-value chemicals (demand commodity in Mt)","ICHHVCSCQN01","Steam cracker with post-combustion CCS with NGCC","CCS","Mt"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHBIOS01","Low-temperature heat technology based on solid biomass (boiler)","Biomass","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHELC01","Low-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHHCO01","Low-temperature heat technology based on coal (boiler)","Coal","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHHDG01","Low-temperature heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHLPG01","Low-temperature heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHNGA01","Low-temperature heat technology based on natural gas (boiler)","Natural gas","PJ"
"Chemicals","ICHLTH","Low temperature heat for the other chemicals subsector","ICHLTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Chemicals","ICHSPC","Low temperature space heat for the chemicals subsector","ICHSPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Biomass","PJ"
"Chemicals","ICHSPC","Low temperature space heat for the chemicals subsector","ICHSPCELC01","Low-temperature space heat technology based on electricity (boiler)","Electricity","PJ"
"Chemicals","ICHSPC","Low temperature space heat for the chemicals subsector","ICHSPCELCHP01","Low-temperature space heat technology based on solid bioheat pump","Heat pump","PJ"
"Chemicals","ICHSPC","Low temperature space heat for the chemicals subsector","ICHSPCHDG01","Low-temperature space heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Chemicals","ICHSPC","Low temperature space heat for the chemicals subsector","ICHSPCNGA01","Low-temperature space heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Chemicals","ICHSPC","Low temperature space heat for the chemicals subsector","ICHSPCSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHCHPCCGT01","CCGT CHP based on natural gas","Natural gas","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHCHPCOA01","Steam turbine CHP based on coal","Coal","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHCHPLPG01","CCGT CHP based on liquified petroleum gas","Oil","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHCHPPRO01","CCGT CHP based on by-products in the chemicals sector","Standard_FF","PJ"
"Chemicals","ICHSTM","Low-temperature steam/heat from CHP for the chemicals sector","ICHSTMHP01","Steam generation by heat pump","Heat pump","PJ"
"Chemicals","ICHMOT","Motor drive for the other chemicals subsector","ICHMOTELC01","Electric motor technology","Electricity","PJ"
"Chemicals","ICHOTH","Other energy services for the other chemicals subsector","ICHOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Chemicals","ICHOTH","Other energy services for the other chemicals subsector","ICHOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Chemicals","ICHOTH","Other energy services for the other chemicals subsector","ICHOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Chemicals","ICHOTH","Other energy services for the other chemicals subsector","ICHOTHLPG01","Generic process technology for other energy services liquified petroleum gas","Oil","PJ"
"Chemicals","ICHOTH","Other energy services for the other chemicals subsector","ICHOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Chemicals","ICHOTH","Other energy services for the other chemicals subsector","ICHOTHSTM01","Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Chemicals","ICHREF","Refrigeration for the other chemicals subsector","ICHREFEHFC01","Refrigeration technology","Electricity","PJ"
"Chemicals","ICHREF","Refrigeration for the other chemicals subsector","ICHREFEHFO01","Advanced refrigeration technology (with HFO as refrigerant, less HFC emissions)","Electricity","PJ"
"Construction","ICN","Demand commodity for the construction sector (in PJ of useful energy)","ICN01","Demand technology (not an actual technology only transforms energy services (ICNOTH) into final demand commodity (ICN))","Standard_FF","PJ"
"Construction","ICNOTH","Other energy services for the construction sector","ICNOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Construction","ICNOTH","Other energy services for the construction sector","ICNOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Construction","ICNOTH","Other energy services for the construction sector","ICNOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Construction","ICNOTH","Other energy services for the construction sector","ICNOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Construction","ICNOTH","Other energy services for the construction sector","ICNOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Construction","ICNOTH","Other energy services for the construction sector","ICNOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Electrical engineering","IEE","Demand commodity for the electrical engineering sector (in PJ of useful energy)","IEE01","Demand technology (not an actual technology only transforms energy services (IEEHTH, IEELTH, IEEMOT, IEEOTH, IEESPC) into final demand commodity (IEE))","Standard_FF","PJ"
"Electrical engineering","IEEHTH","High temperature heat for the electrical engineering sector","IEEHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Biomass","PJ"
"Electrical engineering","IEEHTH","High temperature heat for the electrical engineering sector","IEEHTHELC01","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Electrical engineering","IEEHTH","High temperature heat for the electrical engineering sector","IEEHTHHCO01","High-temperature heat technology based on coal (boiler)","Coal","PJ"
"Electrical engineering","IEEHTH","High temperature heat for the electrical engineering sector","IEEHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Hydrogen","PJ"
"Electrical engineering","IEEHTH","High temperature heat for the electrical engineering sector","IEEHTHLPG01","High-temperature heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Electrical engineering","IEEHTH","High temperature heat for the electrical engineering sector","IEEHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Natural gas","PJ"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHHCO01","Low-temperature heat  technology based on coal (boiler)","Coal","PJ"
