"technology_code","technology_name","sector","technology_category","output_commodity","output_unit","emission_class","process_share_pct","process_co2_kt_per_unit","process_ch4_kt_per_unit","process_n2o_kt_per_unit","process_total_kt_per_unit","energy_direct_kt_per_unit","energy_direct_biomass_zerorated_kt_per_unit","energy_indirect_kt_per_unit","direct_total_kt_per_unit","consumes_biomass_fuel","emissions_released","n_emitting_fuel_inputs","emitting_fuel_commodities","retrofit_to","fuel_factor_year"
"ICHHVCSCHYD01","Hydrogen fuel switching in High Value Chemicals","Chemicals","Hydrogen","IHVC","Mt","A_pure_process",100,396.097375488281,0,0,396.097375488281,0,0,0,396.097375488281,FALSE,1,0,"",,2021
"ICHHVCSCQE01","Electric Steam Cracker for high value Chemicals with CCS","Chemicals","CCS","IHVC","Mt","A_pure_process",100,396.097375488281,0,0,396.097375488281,0,0,2190,396.097375488281,FALSE,0.1,1,"INDDISTELC",,2021
"ICHNEUOTH01","Process representing the future other non-energy fuel use (everything apart from non-energy fuel use in ammonia and high value chemicals production)","Chemicals","Standard_FF","ICHNEUOTH","PJ","A_pure_process",100,15.4737300872803,0,0,15.4737300872803,0,0,0,15.4737300872803,FALSE,1,0,"",,2021
"ICHAMMSRS01","Steam reformer (standard) for ammonia production","Chemicals","Natural gas","IAM","Mt","B_process_dominant",69.2,1489.35400390625,0,0,1489.35400390625,661.86512398135,661.86512398135,80.0000011920929,2151.2191278876,FALSE,1,4,"IND_NGABOM;INDDISTELC;INDHFO;INDLFO",,2021
"ICHAMMSRQ01","Steam reformer with CCS for ammonia production","Chemicals","CCS","IAM","Mt","B_process_dominant",67,1489.35400390625,0,0,1489.35400390625,733.00137946979,733.00137946979,80.0000011920929,2222.35538337604,FALSE,0.1,4,"IND_NGABOM;INDDISTELC;INDHFO;INDLFO",,2021
"ICHHVCSCN01","Oil naphtha steam cracker for the production of high value chemicals","Chemicals","Oil","IHVC","Mt","B_process_dominant",58.6,857.293798828128,0,0,857.293798828128,605.541245634656,605.541245634656,0.279999990016222,1462.83504446278,FALSE,1,4,"IND_NGABOM;INDDISTELC;INDHFO;INDLFO",,2021
"ICHHVCSCQH01","Steam cracker with post-combustion CCS using excess heat","Chemicals","CCS","IHVC","Mt","C_mixed_energy_dominant",48.3,553.137194824219,0,0,553.137194824219,591.590010481001,591.590010481001,28.0412405729294,1144.72720530522,FALSE,0.1,2,"IND_NGABOM;INDDISTELC",,2021
"ICHHVCSCO01","Oil byproduct catalytic cracker for the production of high value chemicals","Chemicals","Standard_FF","IHVC","Mt","C_mixed_energy_dominant",45.4,553.137194824219,0,0,553.137194824219,666.095534458753,666.095534458753,0.279999990016222,1219.23272928297,FALSE,1,4,"IND_NGABOM;INDDISTELC;INDHFO;INDLFO",,2021
"ICHHVCSCQG01","Steam cracker with post-combustion CCS with natural gas boiler for the production of high value chemicals","Chemicals","CCS","IHVC","Mt","C_mixed_energy_dominant",40,553.137194824219,0,0,553.137194824219,828.99692815088,828.99692815088,0,1382.1341229751,FALSE,0.1,1,"IND_NGABOM",,2021
"ICHHVCSCE01","Generic process technology for the production of HVCs","Chemicals","Natural gas","IHVC","Mt","C_mixed_energy_dominant",33.5,396.097375488281,0,0,396.097375488281,787.203375208772,787.203375208772,0.279999990016222,1183.30075069705,FALSE,1,4,"IND_NGABOM;INDDISTELC;INDHFO;INDLFO",,2021
"ICHHVCSCQB01","Steam cracker with post-combustion CCS with biomass boiler for the production of high value chemicals","Chemicals","CCS","IHVC","Mt","C_mixed_energy_dominant",32.1,553.137194824219,0,0,553.137194824219,1170.74234660161,591.590010481001,0,1723.87954142583,TRUE,0.1,2,"IND_NGABOM;INDPELL",,2021
"ICHHVCSCQN01","Steam cracker with post-combustion CCS with NGCC","Chemicals","CCS","IHVC","Mt","C_mixed_energy_dominant",29.2,553.137194824219,0,0,553.137194824219,1343.22264325556,1343.22264325556,0,1896.35983807978,FALSE,0.1,1,"IND_NGABOM",,2021
"ICHCHPBIOS01","Steam turbine CHP based on solid biomass","Chemicals","Biomass","ICHSTM","PJ","D_pure_energy",0,0,0,0,0,133.5125,0,0,133.5125,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICHCHPCCGT01","CCGT CHP based on natural gas","Chemicals","Natural gas","ICHSTM","PJ","D_pure_energy",0,0,0,0,0,161.31412869153,161.31412869153,0,161.31412869153,FALSE,1,1,"IND_NGABOM",,2021
"ICHCHPCOA01","Steam turbine CHP based on coal","Chemicals","Coal","ICHSTM","PJ","D_pure_energy",0,0,0,0,0,123.221736483967,123.221736483967,0,123.221736483967,FALSE,1,1,"INDCOA",,2021
"ICHCHPLPG01","CCGT CHP based on liquified petroleum gas","Chemicals","Oil","ICHSTM","PJ","D_pure_energy",0,0,0,0,0,187.71081369863,187.71081369863,0,187.71081369863,FALSE,1,1,"INDLPG",,2021
"ICHDRYBIOS01","Drying / separation technology based on solid biomass","Chemicals","Biomass","ICHDRY","PJ","D_pure_energy",0,0,0,0,0,109.101123595506,0,0,109.101123595506,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICHDRYLPG01","Drying / separation technology based on liquified petroleum gas","Chemicals","Oil","ICHDRY","PJ","D_pure_energy",0,0,0,0,0,64.7584565217391,64.7584565217391,0,64.7584565217391,FALSE,1,1,"INDLPG",,2021
"ICHDRYNGA01","Drying / separation technology based on natural gas","Chemicals","Natural gas","ICHDRY","PJ","D_pure_energy",0,0,0,0,0,55.6518496903673,55.6518496903673,0,55.6518496903673,FALSE,1,1,"IND_NGABOM",,2021
"ICHHTHHCO01","High-temperature heat technology based on coal (boiler)","Chemicals","Coal","ICHHTH","PJ","D_pure_energy",0,0,0,0,0,149.359680586627,149.359680586627,0,149.359680586627,FALSE,1,1,"INDCOA",,2021
"ICHHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Chemicals","Natural gas","ICHHTH","PJ","D_pure_energy",0,0,0,0,0,85.3328361918966,85.3328361918966,0,85.3328361918966,FALSE,1,1,"IND_NGABOM",,2021
"ICHLTHBIOS01","Low-temperature heat technology based on solid biomass (boiler)","Chemicals","Biomass","ICHLTH","PJ","D_pure_energy",0,0,0,0,0,109.101123595506,0,0,109.101123595506,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICHLTHHCO01","Low-temperature heat technology based on coal (boiler)","Chemicals","Coal","ICHLTH","PJ","D_pure_energy",0,0,0,0,0,100.691919496602,100.691919496602,0,100.691919496602,FALSE,1,1,"INDCOA",,2021
"ICHLTHLPG01","Low-temperature heat technology based on liquified petroleum gas (boiler)","Chemicals","Oil","ICHLTH","PJ","D_pure_energy",0,0,0,0,0,64.7584565217391,64.7584565217391,0,64.7584565217391,FALSE,1,1,"INDLPG",,2021
"ICHLTHNGA01","Low-temperature heat technology based on natural gas (boiler)","Chemicals","Natural gas","ICHLTH","PJ","D_pure_energy",0,0,0,0,0,55.6518496903673,55.6518496903673,0,55.6518496903673,FALSE,1,1,"IND_NGABOM",,2021
"ICHOTHBIOS01","Generic process technology for other energy services based on solid biomass","Chemicals","Biomass","ICHOTH","PJ","D_pure_energy",0,0,0,0,0,109.101123595506,0,0,109.101123595506,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICHOTHLPG01","Generic process technology for other energy services liquified petroleum gas","Chemicals","Oil","ICHOTH","PJ","D_pure_energy",0,0,0,0,0,64.7584565217391,64.7584565217391,0,64.7584565217391,FALSE,1,1,"INDLPG",,2021
"ICHOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Chemicals","Natural gas","ICHOTH","PJ","D_pure_energy",0,0,0,0,0,55.6518496903673,55.6518496903673,0,55.6518496903673,FALSE,1,1,"IND_NGABOM",,2021
"ICHSPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Chemicals","Biomass","ICHSPC","PJ","D_pure_energy",0,0,0,0,0,107.888888888889,0,0,107.888888888889,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICHSPCNGA01","Low-temperature space heat  technology based on natural gas (boiler)","Chemicals","Natural gas","ICHSPC","PJ","D_pure_energy",0,0,0,0,0,55.0534427044494,55.0534427044494,0,55.0534427044494,FALSE,1,1,"IND_NGABOM",,2021
"ICH01","Demand technology (not an actual technology only transforms energy services (ICHDRY, ICHHTH, ICHLTH, ICHMOT, ICHREF, ICHOTH, ICSPC) into final demand commodity (ICH))","Chemicals","Standard_FF","ICH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHCHPCCGTH01","CCGT CHP based on hydrogen","Chemicals","Hydrogen","ICHSTM","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHCHPPRO01","CCGT CHP based on by-products in the chemicals sector","Chemicals","Standard_FF","ICHSTM","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHDRYELC01","Drying / separation technology based on electricity","Chemicals","Electricity","ICHDRY","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICHDRYELCHP01","Drying / separation technology based on heat pump","Chemicals","Heat pump","ICHDRY","PJ","E_zero_direct",,0,0,0,0,0,0,33.3333333333333,0,FALSE,1,1,"INDDISTELC",,2021
"ICHDRYHDG01","Drying / separation technology based on hydrogen","Chemicals","Hydrogen","ICHDRY","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHDRYSTM01","Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Chemicals","Steam","ICHDRY","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHHTHELC01","High-temperature heat technology based on electricity (boiler)","Chemicals","Electricity","ICHHTH","PJ","E_zero_direct",,0,0,0,0,0,0,117.647058823529,0,FALSE,1,1,"INDDISTELC",,2021
"ICHHTHHDG01","High-temperature heat technology based on hydrogen (boiler)","Chemicals","Hydrogen","ICHHTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHLTHELC01","Low-temperature heat technology based on electricity (boiler)","Chemicals","Electricity","ICHLTH","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICHLTHELCHP01","Low-temperature heat  technology based on heat pump","Chemicals","Heat pump","ICHLTH","PJ","E_zero_direct",,0,0,0,0,0,0,33.3333333333333,0,FALSE,1,1,"INDDISTELC",,2021
"ICHLTHHDG01","Low-temperature heat technology based on hydrogen (boiler)","Chemicals","Hydrogen","ICHLTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHLTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Chemicals","Steam","ICHLTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHMOTELC01","Electric motor technology","Chemicals","Electricity","ICHMOT","PJ","E_zero_direct",,0,0,0,0,0,0,102.249488752556,0,FALSE,1,1,"INDDISTELC",,2021
